RNAS	nombre	sigla	domicilio	localidad	cp	provincia	telefono	otros_telefonos	e_mail	web	habilita_opcion
123503	OBRA SOCIAL DEL PERSONAL DE PRENSA DE TUCUMAN	OSPRENTUC         	JUNIN 775                                         	TUCUMAN	4000	TUCUMAN                       	0381-431-0941       	                    	osprentuc@yahoo.com	                                                  	SI
120405	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA EMPRESA SUBTERRANEOS DE BUENOS AIRES	OSPDESBA          	AVDA CALLAO 322 PISO 8 DTO A                      	CAPITAL FEDERAL - CALLAO AVDA.(1-700)	1022	CAPITAL FEDERAL               	4-372-4372/5279     	                    	ospdesba@speedy.com.ar	                                                  	NO
127109	OBRA SOCIAL DEL PERSONAL DE TELECOMUNICACIONES SINDICATO BUENOS AIRES	OSPETELCO         	24 DE NOVIEMBRE 40                                	CAPITAL FEDERAL - URUGUAY(1-1000)	1015	CAPITAL FEDERAL               	4860-5060           	0800-999-6241       	info@ospetelco.org	www.ospetelco.org                                 	SI
128904	OBRA SOCIAL DE LOS TRABAJADORES ARGENTINOS DE CENTROS DE CONTACTOS	O.S.T.A.C.C,      	ROSARIO DE SANTA FE 414                           	NO IDENTIFICADA	0	NO IDENTIFICADA               	0351-5535200        	                    		                                                  	SI
121309	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL TRACTOR	OSPIT             	SAN LORENZO 2181                                  	ROSARIO	2000	SANTA FE                      	0341-4486938        	                    	juareznestor@hotmail.com	                                                  	SI
112004	OBRA SOCIAL DEL PERSONAL SUPERIOR MERCEDES BENZ ARGENTINA	OSPS MERCEDES     	OLIDEN 46                                         	CAPITAL FEDERAL - OLIDEN(1-1000)	1408	CAPITAL FEDERAL               	5365-8444           	                    	obrasocial@apsmba.com.ar	www.ospsmba.com.ar                                	SI
123404	OBRA SOCIAL DEL PERSONAL DE PRENSA DE ROSARIO	OSPRO             	JUAN MANUEL DE ROSAS 958                          	ROSARIO	2000	SANTA FE                      	0341-4-445918       	                    	ospro@arnet.com.ar	                                                  	SI
101901	OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LEDESMA	OSPAIL            	JUJUY 755 CC5                                     	LIBERTADOR GENERAL SAN MARTIN	4512	JUJUY                         	03886-423558        	                    		                                                  	NO
101000	OBRA SOCIAL DEL PERSONAL DE AGUAS GASEOSAS Y AFINES	OSPAGA            	BACACAY 2735/37                                   	CAPITAL FEDERAL - BACACAY(1201-3300)	1406	CAPITAL FEDERAL               	4 -610-9200         	0800-222-6772       	info@ospaga.com.ar	www.ospaga.com.ar                                 	SI
108803	OBRA SOCIAL  DE LA UNION  DE TRABAJADORES  DEL TURISMO, HOTELEROS Y GASTRONOMICOS DE LA REPUBLICA  ARGENTINA	OSUTHGRA          	AVDA. DE MAYO 930                                 	CAPITAL FEDERAL - DE MAYO AVDA.(501-1000)	1084	CAPITAL FEDERAL               	4341-8020           	0800-222-8844       	info@uthgra.org.ar	www.uthgra.org.ar                                 	SI
113601	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL NEUMATICO	OSPIN             	JUJUY 995                                         	CAPITAL FEDERAL - JUJUY(501-1200)	1229	CAPITAL FEDERAL               	011-4943-1189       	0800-222-1537       	contaduria@ospin.org.ar	www.ospin.org.ar                                  	SI
101604	OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL  CLUB ARGENTINO	OSPACA            	ANCHORENA 639 - PISO 1                            	CAPITAL FEDERAL - ANCHORENA TOMAS MANUEL DE DOCTOR	1170	CAPITAL FEDERAL               	4106-4500           	0800-999-6772       	informes@ospaca.com	www.ospaca.com                                    	NO
120900	OBRA SOCIAL DEL PERSONAL DE TELEVISION	OSPTV             	QUINTINO BOCAYUVA 38/50                           	CAPITAL FEDERAL - BOCAYUVA QUINTINO(1-500)	1181	CAPITAL FEDERAL               	5-555-3100          	0800-288-8872       	info@tvsalud.com.ar	www.tvsalud.com.ar                                	SI
123008	OBRA SOCIAL PARA EL PERSONAL DE ESTACIONES DE SERVICIO, GARAGES, PLAYAS DE ESTACIONAMIENTO, LAVADEROS AUTOMATICOS Y GOMERIAS DE LA REPUBLICA ARGENTINA	OSPES             	MORENO 2681                                       	CAPITAL FEDERAL - MORENO(1801-2800)	1094	CAPITAL FEDERAL               	4956-0954           	                    	central@ospes.org.ar	www.ospes.org.ar                                  	SI
123305	OBRA SOCIAL DEL PERSONAL DE SOCIEDADES DE AUTORES Y AFINES	OSPESA            	MONTEVIDEO 453  (DOMICILIO PROVISORIO)            	CAPITAL FEDERAL - MONTEVIDEO(1-1200)	1019	CAPITAL FEDERAL               	4 -374-4452         	                    	auditoria@ospesa.com.ar	                                                  	SI
103600	OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICULARES	OSPACP            	CHARCAS 2745                                      	CAPITAL FEDERAL - CHARCAS(2501-3300)	1425	CAPITAL FEDERAL               	4 829-1212          	0800-888-2748       	info@ospacp.org.ar	www.ospacp.org.ar                                 	SI
117405	OBRA SOCIAL DEL PERSONAL DE PRENSA DE BAHIA BLANCA	                  	LAMADRID 266                                      	BAHIA BLANCA	8000	BUENOS AIRES                  	0291-4-562760       	                    	prensabblanca@bvconline.com.ar	                                                  	SI
120603	OBRA SOCIAL DE EMPLEADOS DEL TABACO DE LA REPUBLICA ARGENTINA	OSETRA            	BOLIVIA 384                                       	CAPITAL FEDERAL - BOLIVIA(1-1100)	1406	CAPITAL FEDERAL               	4-637-3232          	                    	mesadeentrada@suetra-tabacos.com.ar	www.suetra-tabacos.com.ar                         	SI
100700	OBRA SOCIAL DEL PERSONAL TECNICO AERONAUTICO	OSPTA             	D ONOFRIO 158                                     	CIUDADELA	1702	BUENOS AIRES                  	4 -653-3016         	0800--666-2096      	aviones@aviones.com	www.aviones.com                                   	SI
108605	OBRA SOCIAL DE FUTBOLISTAS	FAA               	SALTA 1144                                        	CAPITAL FEDERAL - SALTA(1-1200)	1074	CAPITAL FEDERAL               	4 -305-3426         	                    	agremiados@infovia.com.ar	www.agremiados.com.ar                             	SI
104405	OBRA SOCIAL DEL PERSONAL CINEMATOGRAFICO DE MAR DEL PLATA	OSPERCIN          	NEUQUEN 2655                                      	MAR DEL PLATA	7600	BUENOS AIRES                  	0223-4738544        	                    		ospercin@ospercinweb.com.ar                       	NO
110701	OBRA SOCIAL DE LA FEDERACION ARGENTINA DE TRABAJADORES DE LUZ Y FUERZA	OSFATLYF          	LIMA 163 4° PISO                                  	CAPITAL FEDERAL - LIMA(1-1200)	1073	CAPITAL FEDERAL               	4 -383-4541         	                    	bettinottir@osfatlyf_salud.com.ar	www.osfatlyf-salud.com.ar                         	SI
107404	OBRA SOCIAL DEL PERSONAL DE FARMACIA	OSPF              	CONSTITUCION 2066                                 	CAPITAL FEDERAL - CONSTITUCION(1801-4400)	1254	CAPITAL FEDERAL               	4941-1342           	0800-333-9820       	privada@ospf.org.ar	www.ospf.org.ar                                   	SI
125905	OBRA SOCIAL DE ARBITROS DEPORTIVOS DE LA REPUBLICA ARGENTINA	OSADRA            	VIAMONTE 1835                                     	CAPITAL FEDERAL - VIAMONTE(1801-2700)	1056	CAPITAL FEDERAL               	4021-9300 AL 9329   	                    	javier.marconi@gmail.com /j.marconi@osad	www.osadra.org.ar                                 	SI
114000	OBRA SOCIAL DE PANADEROS, PASTELEROS Y FACTUREROS DE ENTRE RIOS	OSSPYFER          	VELEZ SARSFIELD 447/49                            	CONCORDIA	3200	ENTRE RIOS                    	0345-4-214266       	                    		                                                  	SI
119609	OBRA SOCIAL DEL PERSONAL DE INSTALACIONES SANITARIAS	OSPIS             	PASCO Nº 1040                                     	CAPITAL FEDERAL - PASCO(501-1200)	1219	CAPITAL FEDERAL               	4-941-7456          	0800-555-8774       		www.ospis.com.ar                                  	SI
109004	OBRA SOCIAL DEL PERSONAL GRAFICO	OSPG              	AVDA. BELGRANO 2530                               	CAPITAL FEDERAL - BELGRANO AVDA.(2301-2800)	1096	CAPITAL FEDERAL               	4 -308-2678         	                    	legales@ospg.org.ar	                                                  	SI
111803	OBRA SOCIAL DEL PERSONAL MARITIMO	OSPM              	VENEZUELA 1427                                    	CAPITAL FEDERAL - VENEZUELA(1-1600)	1095	CAPITAL FEDERAL               	4 -381-2486         	                    	gerencia@ospm.com.ar	                                                  	SI
110602	OBRA SOCIAL DE LOCUTORES	OSDEL             	VIDT 2011                                         	CAPITAL FEDERAL - VIDT(1601-2200)	1425	CAPITAL FEDERAL               	4 -827-4611         	                    	auditoriamedica@sal.org.ar	www.sal.org.ar                                    	SI
110909	OBRA SOCIAL DEL PERSONAL DE LUZ Y FUERZA DE CORDOBA	OSLYF             	AVDA. GRAL PAZ 282 PISO 1                         	CORDOBA	5000	CORDOBA                       	0351-4-238027       	0800-333-3202       		luzfuerzacbasalud.com.ar                          	SI
127604	OBRA SOCIAL DEL PERSONAL DE OBRAS Y SERVICIOS SANITARIOS	OSOSS             	AVELLANEDA  212 PISO 3                            	CAPITAL FEDERAL - AVELLANEDA(1-1500)	1405	CAPITAL FEDERAL               	4 958-2002/04/6     	0800-999-1702       	presidencia@ososs.com.ar	www.ososs.com.ar                                  	SI
126106	OBRA SOCIAL PARA LOS TRABAJADORES DE LA EDUCACION PRIVADA	OSTEP             	SALTA 534                                         	CAPITAL FEDERAL - SALTA(1-1200)	1074	CAPITAL FEDERAL               	4384-0017/18        	                    	info@ostep.com.ar	www.ostepdigital.com                              	SI
104009	OBRA SOCIAL DEL PERSONAL DE CEMENTERIOS DE LA REPUBLICA ARGENTINA.	OSPCRA            	FEDERICO LACROZE 3908                             	CAPITAL FEDERAL - LACROZE FEDERICO AVDA.(3501-4200	1427	CAPITAL FEDERAL               	4553-3947           	0800-555-6772       	info@ospcra.org	www.ospcra.org                                    	SI
103709	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO	OSPIC             	CONGRESO 2033                                     	CAPITAL FEDERAL - CONGRESO(1501-3300)	1428	CAPITAL FEDERAL               	4 701-5646          	                    	info@ospic-caucho.org.ar	www.ospic-caucho.org.ar                           	SI
115409	OBRA SOCIAL DEL PETROLEO Y GAS PRIVADOS	OSPEGAP           	AV. CASEROS 715                                   	CAPITAL FEDERAL - CASEROS AVDA.(401-2000)	1152	CAPITAL FEDERAL               	4-300-5010/0523     	0800-555-6773       	ospegapsalud@petroleoygas.com.ar	www.petroleoygas.com.ar                           	SI
115805	OBRA SOCIAL DEL PERSONAL DE FABRICAS DE PINTURA	UPFPARA           	NAZCA 845                                         	CAPITAL FEDERAL - NAZCA AVDA.(1-1100)	1406	CAPITAL FEDERAL               	4-613-7428          	0800-999-8525       	osocial@ospfp.org.ar	http://www.ospfp.org.ar/                          	SI
106500	OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y HORIZONTAL DE LA CIUDAD AUTONOMA DE BUENOS AIRES  Y GRAN BUENOS AIRES	OSPERYH           	SARMIENTO 2026                                    	CAPITAL FEDERAL - SARMIENTO(1801-2500)	1044	CAPITAL FEDERAL               	5354-6600 INT 2106  	0800-266-0066       	legales@osperyh.org.ar	www.fateryh.org.ar                                	SI
113304	OBRA SOCIAL DE JEFES Y OFICIALES MAQUINISTAS NAVALES	OSJOMN            	LIBERTAD 1668                                     	CAPITAL FEDERAL - LIBERTAD(1301-1700)	1016	CAPITAL FEDERAL               	4 -815-8133         	                    	infoobrasocial@osjomn.com.ar	www.maquinaval.com.ar                             	SI
111605	OBRA SOCIAL DE EMPLEADOS DE LA MARINA MERCANTE	OSEMM             	BARTOLOME MITRE 3776                              	CAPITAL FEDERAL - MITRE BARTOLOME(2801-4500)	1201	CAPITAL FEDERAL               	4981-8181           	                    	osemm@osemm.org.ar	                                                  	SI
116105	OBRA SOCIAL DE CAPATACES  ESTIBADORES PORTUARIOS	OSCEP             	PINZON 1012/1016                                  	CAPITAL FEDERAL - PINZON(1-1200)	1161	CAPITAL FEDERAL               	4302-4640           	                    	oscep@fideisalud.com.ar	                                                  	SI
122500	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VIDRIO	OSPIV             	BALBASTRO 453                                     	CAPITAL FEDERAL - BALBASTRO(401-1400)	1424	CAPITAL FEDERAL               	4 -924-4626         	                    		www.soivavidrio.com.ar                            	SI
127505	OBRA SOCIAL DE  LAS ASOCIACIONES DE EMPLEADOS DE FARMACIA	OSADEF            	RINCON 1035                                       	CAPITAL FEDERAL - RINCON(501-1200)	1227	CAPITAL FEDERAL               	4941-6330           	0800-666-2333       	adolfo@osadef.org.ar	                                                  	SI
118002	OBRA SOCIAL DE EMPLEADOS DE PRENSA DE CORDOBA	OSEPC             	OBISPO TREJO 365                                  	CORDOBA	5000	CORDOBA                       	351-5920575         	351-4229214         	prensalud@osepc.com.ar	www.prensalud.com.ar                              	SI
111308	OBRA SOCIAL DE MAQUINISTAS DE TEATRO Y TELEVISION	                  	AVDA CORRIENTES 1642 PISO 1 OFICINA 21            	CAPITAL FEDERAL - CORRIENTES AVDA.(1401-1800)	1042	CAPITAL FEDERAL               	4371-7717           	                    	osmtt@osmtt.org.ar	                                                  	NO
114901	OBRA SOCIAL DE OFICIALES PELUQUEROS Y PEINADORES  DE LA 2DA CIRCUNSCRIPCION JUDICIAL DE LA PROVINCIA DE SANTA FE	                  	MONTEVIDEO 1488                                   	ROSARIO	2000	SANTA FE                      	0341-4-488998       	                    	osopp@sppr.org.ar	www.sindicatopeluq-ros.com.ar                     	SI
120306	OBRA SOCIAL DEL PERSONAL DE SUPERVISION DE LA EMPRESA SUBTERRANEOS DE BUENOS AIRES	OSPSESBA          	EMILIO MITRE 582                                  	CAPITAL FEDERAL - MITRE EMILIO(1-2000)	1424	CAPITAL FEDERAL               	4-433-0833          	                    	ospesba@fibertel.com.ar	                                                  	SI
100403	OBRA SOCIAL DEL PERSONAL SUPERIOR Y PROFESIONAL DE EMPRESAS AEROCOMERCIALES	OSPEA             	INDEPENDENCIA 1111 - PISO 2                       	CAPITAL FEDERAL - INDEPENDENCIA AVDA.(1-1300)	1099	CAPITAL FEDERAL               	4 -383-3185         	0800-999-8907       	ospea@upsa-ospea.com.ar	www.upsa-ospea.com.ar                             	SI
128508	OBRA SOCIAL DE FARMACEUTICOS Y BIOQUIMICOS	OSFYB             	AGUERO 1595 PISO 13                               	CAPITAL FEDERAL - AGUERO(1101-2600)	1425	CAPITAL FEDERAL               	4865-9837           	                    		www.safyb.org.ar                                  	SI
127406	OBRA SOCIAL DE OBREROS Y EMPLEADOS TINTOREROS SOMBREREROS Y LAVADEROS DE LA REPUBLICA ARGENTINA	OSOETSYLARA       	CULPINA 25/29                                     	CAPITAL FEDERAL - CULPINA(1-2300)	1406	CAPITAL FEDERAL               	4-612-2000          	                    		www.uoesylra.org                                  	SI
100106	OBRA SOCIAL PARA EL PERSONAL DE LA INDUSTRIA ACEITERA, DESMOTADORA Y AFINES	OSIAD             	AVDA. BELGRANO 1370  PISO 2                       	CAPITAL FEDERAL - BELGRANO AVDA.(1201-1800)	1093	CAPITAL FEDERAL               	4 -381-5041         	0810-345-6742       	info@osiadsalud.org.ar	                                                  	SI
100601	OBRA SOCIAL DEL PERSONAL DE AERONAVEGACION DE ENTES PRIVADOS	OSPADEP           	VENEZUELA 900                                     	CAPITAL FEDERAL - VENEZUELA(1-1600)	1095	CAPITAL FEDERAL               	4 -331-1411         	0800-222-2722       	info@ospadep.com	www.ospadep.com.ar                                	SI
100809	OBRA SOCIAL DE AERONAVEGANTES	OSA               	BARTOLOME MITRE 1902 - PB                         	CAPITAL FEDERAL - MITRE BARTOLOME(1801-2800)	1039	CAPITAL FEDERAL               	011 4953-7277       	0800 9999 672       	osa@aeronavegantes.com	www.osa-aeronavegantes.com                        	SI
105002	OBRA SOCIAL DE CONDUCTORES NAVALES	OSCONARA          	PINZON 281                                        	CAPITAL FEDERAL - PINZON(1-1200)	1161	CAPITAL FEDERAL               	4 -362-0080/0880    	                    	info@siconara.com.ar	www.siconara.org.ar                               	SI
105507	OBRA SOCIAL DE LOS CORTADORES DE LA INDUMENTARIA	OSUCI             	SANTIAGO DEL ESTERO 576                           	CAPITAL FEDERAL - SANTIAGO DEL ESTERO(1-1200)	1075	CAPITAL FEDERAL               	4 -383-8801         	                    	obrasocial@uci.org.ar	                                                  	SI
112400	OBRA SOCIAL DE LA ACTIVIDAD MINERA	O.S.A.M.          	ROSARIO 434/36                                    	CAPITAL FEDERAL - ROSARIO(1-900)	1424	CAPITAL FEDERAL               	4-901-3277          	                    		                                                  	SI
114703	OBRA SOCIAL DEL PERSONAL DE PELUQUERIAS, ESTETICAS Y AFINES	OSPPEA            	AYACUCHO 838                                      	CAPITAL FEDERAL - AYACUCHO(801-1500)	1111	CAPITAL FEDERAL               	4-965-2100 L. ROTATI	                    	obrasocial@peluquerosargentinos.com	www.peluquerosargentinos.com                      	SI
120504	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA  DEL TABACO	OSPIT             	ESTEBAN BONORINO 281                              	CAPITAL FEDERAL - BONORINO ESTEBAN CORONEL(1-2200)	1406	CAPITAL FEDERAL               	4-613-9183          	                    	ospitabaco@infovia.com.ar	                                                  	SI
106203	OBRA SOCIAL DEL PERSONAL DE DISTRIBUIDORAS CINEMATOGRAFICAS DE LA R.A.	OSPEDICI          	AYACUCHO 512/514   1º Y 2º PISO                   	CAPITAL FEDERAL - AYACUCHO(1-400)	1025	CAPITAL FEDERAL               	4373-8723           	                    	consultas@ospedici.ar	www.ospedici.ar                                   	SI
104603	OBRA SOCIAL DE OPERADORES CINEMATOGRAFICOS	OSOC              	VIAMONTE 2045                                     	CAPITAL FEDERAL - VIAMONTE(1801-2700)	1056	CAPITAL FEDERAL               	4 -372-0509         	                    		                                                  	NO
101208	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DE LA ALIMENTACION	OSPIA             	VENEZUELA 1326                                    	CAPITAL FEDERAL - VENEZUELA(1601-2700)	1096	CAPITAL FEDERAL               	4 383-9026/29       	0800-666-6774       	ospiacentral@ospia.org.ar	www.ospia.org.ar                                  	SI
111001	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MADERERA	OSPIM             	ROJAS 254                                         	CAPITAL FEDERAL - ROJAS(1-1100)	1405	CAPITAL FEDERAL               	4 -431-4791         	                    	contacto@ospim.com.ar	                                                  	SI
114109	OBRA SOCIAL DEL PERSONAL DEL PAPEL, CARTON Y QUIMICOS	OSPPCYQ           	OSVALDO CRUZ 2075                                 	CAPITAL FEDERAL - CRUZ OSVALDO AVDA.(1601-3000)	1293	CAPITAL FEDERAL               	4126-0900 OP 2      	0800-222-2727       	info@ospapel.org.ar	www.ospapel.org.ar                                	SI
115706	OBRA SOCIAL PARA PILOTOS DE LINEAS AEREAS COMERCIALES Y REGULARES	OSPLA             	LEZICA 4047                                       	CAPITAL FEDERAL - LEZICA(3901-4500)	1202	CAPITAL FEDERAL               	4 -958-2959         	                    	ospla@ospla.org.ar	www.ospla.org.ar                                  	SI
106807	OBRA SOCIAL DEL PERSONAL DE LA ENSEÑANZA PRIVADA	OSPEP             	AV. JUJUY 226                                     	CAPITAL FEDERAL - JUJUY(1-500)	1083	CAPITAL FEDERAL               	4 -956-0408/09      	                    	info@ospepweb.com.ar	www.ospepweb.com.ar                               	SI
121606	OBRA SOCIAL CONDUCTORES DE TRANSPORTE COLECTIVO DE PASAJEROS	                  	MORENO 2969                                       	CAPITAL FEDERAL - MORENO(2801-3700)	1209	CAPITAL FEDERAL               	4 -931-5452         	INT 109.183,155,117,		                                                  	SI
103204	OBRA SOCIAL DE CONDUCTORES CAMIONEROS Y PERSONAL DEL TRANSPORTE AUTOMOTOR DE CARGAS	                  	AV. CASEROS 921/23                                	CAPITAL FEDERAL - CASEROS AVDA.(401-2000)	1152	CAPITAL FEDERAL               	4300-2191           	                    	aliciak@spdps.com.ar	                                                  	SI
118804	OBRA SOCIAL DE RECIBIDORES DE GRANOS Y ANEXOS	OSRGA             	AVDA BELGRANO 510 PISO 5                          	CAPITAL FEDERAL - BELGRANO AVDA.(1-1200)	1092	CAPITAL FEDERAL               	4-137-5646/7/8/9    	                    	administracion@osrga.org.ar	                                                  	SI
103907	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO DE SANTA FE	OSPIC SANTA FE    	ITURRASPE 2458                                    	DEPTO LA CAPITAL	3034	SANTA FE                      	0342-453-8863       	                    	oscauchostafe@yahoo.com.ar	                                                  	SI
120801	OBRA SOCIAL DE TRABAJADORES DE LAS COMUNICACIONES	OSTRAC            	CHACABUCO 140                                     	CAPITAL FEDERAL - CHACABUCO(1-1200)	1069	CAPITAL FEDERAL               	                    	                    	institucional@aatrac,org.ar	www.aatrac.org.ar                                 	SI
101802	OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LA ESPERANZA	OSPA              	SERAPIO SORIA 337                                 	SAN PEDRO	4500	JUJUY                         	03888 421222        	                    	ospalaesperanzajujuy@gmail.com	                                                  	SI
127307	OBRA SOCIAL DE LOS TRABAJADORES VIALES Y AFINES DE LA REPUBLICA ARGENTINA	                  	MEXICO 1399 P.B ESQUINA SAN JOSE                  	CAPITAL FEDERAL - MEXICO(1-1600)	1097	CAPITAL FEDERAL               	0810-220-0159       	                    	info@vialsalud.com.ar	www.ostv.com.ar                                   	SI
106005	OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y CIVILES	OSPEDYC           	ALBERTI 646                                       	CAPITAL FEDERAL - ALBERTI(501-1200)	1223	CAPITAL FEDERAL               	5353-3500           	                    	ospedyc@infovia.com	www.ospedyc.org.ar                                	SI
123701	OBRA SOCIAL DE PEONES DE TAXIS DE LA CAPITAL FEDERAL	OSPETAX           	AVDA LA PLATA 1554/60/62/64                       	CAPITAL FEDERAL - LA PLATA AVDA.(1001-2200)	1250	CAPITAL FEDERAL               	4 -920-7000         	                    	sindicato taxis@speedy.com.ar	www.ospetax.org.ar                                	SI
118200	OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE LA REPUBLICA ARGENTINA	OSAPM             	AVELLANEDA 2144                                   	CAPITAL FEDERAL - AVELLANEDA(1501-3300)	1406	CAPITAL FEDERAL               	4  -633-7878        	                    	obra_social@apm.org.ar	www.apm.org.ar                                    	SI
123602	OBRA SOCIAL DE TRABAJADORES DE PERKINS ARGENTINA S.A.I.C	OSTP              	ROQUE SAENZ PEÑA 1377                             	CORDOBA	5000	CORDOBA                       	                    	0800-444-0663       	obrasocialperkins@hotmail.com	                                                  	SI
115607	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA PETROQUIMICA	OSPIP             	AVDA. SAN MARTIN 698 PA                           	SAN LORENZO	2200	SANTA FE                      	03476-4-31933       	                    	administracion@ospip-os.com.ar	                                                  	SI
112103	OBRA SOCIAL DE LA UNION OBRERA METALURGICA DE LA REPUBLICA ARGENTINA	OSUOMRA           	ALSINA 477/485 -                                  	CAPITAL FEDERAL - ALSINA ADOLFO(201-900)	1087	CAPITAL FEDERAL               	6345-5000           	                    	of.afiliaciones@uom.org.ar	www.osuomra.org.ar                                	SI
102300	OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO SAN MARTIN	OSPA              	ISLAS MALVINAS S/N - BARRIO PATRON COSTAS         	EL TABACAL	4533	SALTA                         	03878-491019        	                    	ospasalta102300@gmail.com	                                                  	NO
111704	OBRA SOCIAL DE ENCARGADOS APUNTADORES MARITIMOS	OSEAM             	MEXICO 2183 DTO A                                 	CAPITAL FEDERAL - MEXICO(1801-2500)	1222	CAPITAL FEDERAL               	4-941-8327          	                    	oseam@speedy.com.ar	                                                  	SI
126809	OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL INSTANTE Y AFINES	OSCRAIA           	"CERRITO 228 - 1º ""B""                              "	CAPITAL FEDERAL - CERRITO(1-1600)	1010	CAPITAL FEDERAL               	4-381-2507          	                    	oscraia@live.com.ar	                                                  	SI
114505	OBRA SOCIAL DE PATRONES DE CABOTAJE DE RIOS Y PUERTOS	                  	AV MONTES DE OCA 1731                             	CAPITAL FEDERAL - MONTES DE OCA MANUEL A. AVDA.(1-	1270	CAPITAL FEDERAL               	5252-3482           	0800-2221480        		WWW.OSPATRONES.COM.AR                             	SI
116709	OBRA SOCIAL PORTUARIOS  PUERTO SAN MARTIN Y BELLA VISTA	                  	CALLE SAN MARTIN 56                               	PUERTO GRAL. SAN MARTIN	2202	SANTA FE                      	03476-436020        	                    	contacto@osportuarios.com.ar	                                                  	SI
112806	OBRA SOCIAL DE MUSICOS	OSDEM             	AVDA.  BELGRANO 3655                              	CAPITAL FEDERAL - BELGRANO AVDA.(3201-4300)	1210	CAPITAL FEDERAL               	4 -957-3522 NT 120  	                    	institucional@osdem.org.ar	www.osdem.arg.ar                                  	SI
106401	OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y HORIZONTAL DE LA REPUBLICA ARGENTINA	OSPERYHRA         	SARMIENTO 2026                                    	CAPITAL FEDERAL - SARMIENTO(1801-2500)	1044	CAPITAL FEDERAL               	5-354-6600          	                    	osperyh@osperyh.org.ar	www.fateryh.org.ar                                	SI
125509	OBRA SOCIAL DE LA FEDERACION ARGENTINA DEL TRABAJADOR  DE LAS UNIVERSIDADES NACIONALES	OSFATUN           	AV BELGRANO 3768 4TO. PISO                        	CAPITAL FEDERAL - BELGRANO AVDA.(3201-4300)	1210	CAPITAL FEDERAL               	4956-8030           	0-800-666--5173     	info@osfatun.com.ar	www.osfatun.com.ar                                	SI
103402	OBRA SOCIAL DEL PERSONAL DE CARGA Y DESCARGA	OSPCYD            	COCHABAMBA 1635                                   	CAPITAL FEDERAL - COCHABAMBA(1401-1800)	1148	CAPITAL FEDERAL               	4304-5484           	                    	info@unioncargaydescarga.org	www.unioncargaydescarga.org.                      	SI
107206	OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO Y G.N.C, GARAGES, PLAYAS DE ESTACIONAMIENTO Y LAVADEROS AUTOMATICOS	OSPESGYPE         	PIEDRAS 962                                       	CAPITAL FEDERAL - PIEDRAS(1-1200)	1070	CAPITAL FEDERAL               	4 -866-1631         	                    		www.soesgype.org.ar                               	SI
109400	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL HIELO Y MERCADOS PARTICULARES	OSPIHMP           	COLOMBRES 1573   (SINDICATO)                      	CAPITAL FEDERAL - COLOMBRES(1001-1800)	1238	CAPITAL FEDERAL               	4 -926-0173         	0800-666-7744       	auditoria@ospihmp.org.ar	www.stihmpra.hypermart.net                        	SI
112301	OBRA SOCIAL DEL PERSONAL DE  MICROS Y OMNIBUS DE MENDOZA	OSPEMOM           	CATAMARCA 382                                     	MENDOZA	5500	MENDOZA                       	0261-4-203283       	                    	ospemom@ospemom.org.ar	                                                  	SI
122104	OBRA SOCIAL DE VIAJANTES VENDEDORES DE LA REPUBLICA ARGENTINA. (ANDAR)	OSVVRA            	MORENO 2045                                       	CAPITAL FEDERAL - MORENO(1801-2800)	1094	CAPITAL FEDERAL               	5237-1900           	0800-345-26327      	andar.beneficiarios@redsocialfuva.org.ar	www.andar.org.ar                                  	SI
102904	OBRA SOCIAL DEL PERSONAL DE BARRACAS DE LANAS, CUEROS Y ANEXOS	                  	FLORENTINO AMEGHINO 1060                          	AVELLANEDA	1870	BUENOS AIRES                  	4 222-4086          	0-800-222-7203      	osblyca@uolsinectis.com.ar	                                                  	SI
